ID,Age,Weight (kg),Breed,Symptoms,Previous Health Issues,Hydration (%),Heart Rate (bpm),Respiratory Rate (bpm),Temperature (°C),Environmental Exposure,Health Risk (%),Health Risk Level,Diagnosis,Potential Causes,Recommended Diet,Consult Vet
49,12,2.9,British Shorthair,"Loss of Appetite, Sneezing, Coughing",Diabetes,61,177,31,39.9,Both,46,Moderate,Gastrointestinal Issue,"Stress, Age-related","Wet food, Hydration",No
50,6,2.8,Ragdoll,Sneezing,Arthritis,49,153,20,37.8,Both,83,Severe,Gastrointestinal Issue,"Genetic, Age-related",Renal Support Diet,Yes
51,9,6.3,Persian,Weight Loss,Arthritis,50,152,28,37.6,Both,30,Moderate,Respiratory Infection,"Stress, Genetic",Renal Support Diet,No
52,10,2.9,Sphynx,"Lethargy, Loss of Appetite",Diabetes,75,191,32,37.9,Both,76,High,Diabetes,Age-related,Balanced Diet,Yes
53,11,3.9,Maine Coon,Difficulty Breathing,Diabetes,65,197,32,38.3,Both,48,Moderate,Gastrointestinal Issue,Dehydration,Balanced Diet,No
54,5,7.0,Scottish Fold,"Weight Loss, Vomiting",Obesity,71,168,27,38.2,Indoor,76,High,Respiratory Infection,Age-related,"Wet food, Hydration",Yes
55,11,4.3,Sphynx,Coughing,Arthritis,54,162,34,39.3,Indoor,72,High,Obesity,"N/A, Stress",Low-sodium Diet,Yes
56,13,3.7,Maine Coon,None,None,64,188,26,38.3,Indoor,32,Moderate,Gastrointestinal Issue,"Poor Diet, Dehydration",Renal Support Diet,No
57,9,6.6,British Shorthair,"Vomiting, Sneezing",Heart Condition,46,188,25,37.9,Indoor,34,Moderate,Diabetes,N/A,"Wet food, Hydration",No
58,15,4.6,Siamese,Coughing,None,74,186,36,39.6,Outdoor,83,Severe,Healthy,N/A,Renal Support Diet,Yes
59,5,2.6,Siamese,Loss of Appetite,Kidney Disease,62,151,33,39.4,Both,88,Severe,Healthy,N/A,Low-sodium Diet,Yes
60,4,2.9,Scottish Fold,Difficulty Breathing,Kidney Disease,65,199,30,37.5,Both,24,Moderate,Respiratory Infection,Dehydration,Renal Support Diet,No
61,3,4.7,Siamese,"Difficulty Breathing, Lethargy",Heart Condition,64,166,28,37.7,Outdoor,78,High,Gastrointestinal Issue,N/A,Balanced Diet,Yes
62,14,5.8,Persian,Sneezing,Diabetes,57,167,20,38.5,Indoor,34,Moderate,Gastrointestinal Issue,"Stress, Dehydration",Diabetic-friendly Diet,No
63,12,5.8,British Shorthair,None,Heart Condition,52,156,20,37.9,Outdoor,52,High,Healthy,N/A,Balanced Diet,Yes
64,7,3.4,Siamese,"Coughing, Loss of Appetite",Arthritis,69,220,26,37.6,Both,14,Low,Healthy,N/A,High-protein Diet,No
65,12,3.3,Siamese,None,Kidney Disease,56,166,39,38.3,Both,20,Low,Healthy,N/A,Low-sodium Diet,No
66,14,6.5,Sphynx,"Weight Loss, Sneezing, Difficulty Breathing",Obesity,72,180,38,38.6,Indoor,55,High,Kidney Failure,"Allergies, Genetic",Diabetic-friendly Diet,Yes
67,2,3.3,Scottish Fold,None,Arthritis,45,210,29,39.8,Outdoor,51,High,Obesity,"Stress, N/A",High-protein Diet,Yes
68,13,4.1,Scottish Fold,None,Kidney Disease,65,182,23,38.5,Indoor,71,High,Diabetes,Poor Diet,Renal Support Diet,Yes
69,2,6.4,Maine Coon,Vomiting,Arthritis,65,177,34,37.6,Both,40,Moderate,Obesity,Dust,"Wet food, Hydration",No
70,1,5.7,Scottish Fold,"Loss of Appetite, Vomiting, Weight Loss",Obesity,61,201,32,39.9,Indoor,94,Severe,Respiratory Infection,Poor Diet,Balanced Diet,Yes
71,15,2.5,Ragdoll,"Loss of Appetite, Vomiting",Diabetes,59,177,21,38.4,Outdoor,71,High,Kidney Failure,Allergies,Low-sodium Diet,Yes
72,12,4.4,Scottish Fold,"Lethargy, Loss of Appetite, Difficulty Breathing",Arthritis,45,158,39,38.1,Indoor,92,Severe,Heart Disease,"Allergies, Dehydration","Wet food, Hydration",Yes
73,1,5.1,Maine Coon,Weight Loss,Obesity,45,169,31,38.9,Indoor,55,High,Kidney Failure,"Poor Diet, Allergies","Wet food, Hydration",Yes
74,14,3.1,Sphynx,Weight Loss,Diabetes,69,215,37,39.3,Both,28,Moderate,Diabetes,"Allergies, Genetic",Low-sodium Diet,No
75,6,5.0,Siamese,None,Heart Condition,69,217,36,38.8,Both,41,Moderate,Respiratory Infection,Genetic,Low-sodium Diet,No
76,8,3.1,Ragdoll,"Sneezing, Lethargy, Difficulty Breathing",None,72,140,27,39.8,Both,86,Severe,Diabetes,"Stress, Genetic",Diabetic-friendly Diet,Yes
77,6,3.5,Sphynx,Sneezing,Arthritis,49,156,38,38.8,Both,46,Moderate,Diabetes,"N/A, Genetic",Balanced Diet,No
78,14,4.1,Maine Coon,None,Diabetes,61,214,28,39.5,Indoor,3,Low,Healthy,N/A,High-protein Diet,No
79,14,6.5,Siamese,None,Diabetes,50,194,27,39.1,Both,70,High,Healthy,N/A,Diabetic-friendly Diet,Yes
80,10,4.9,British Shorthair,None,Heart Condition,71,187,36,38.7,Outdoor,54,High,Kidney Failure,"N/A, Genetic",Renal Support Diet,Yes
81,5,5.6,British Shorthair,Loss of Appetite,Heart Condition,68,144,27,39.4,Both,89,Severe,Kidney Failure,N/A,Diabetic-friendly Diet,Yes
82,7,6.5,Maine Coon,"Lethargy, None",Arthritis,50,159,21,38.3,Indoor,59,High,Diabetes,Dehydration,Balanced Diet,Yes
83,5,6.8,Scottish Fold,None,Obesity,53,211,25,39.5,Indoor,96,Severe,Respiratory Infection,"Genetic, Allergies","Wet food, Hydration",Yes
84,2,4.1,Sphynx,None,Heart Condition,47,198,30,38.3,Outdoor,86,Severe,Healthy,N/A,"Wet food, Hydration",Yes
85,10,6.8,British Shorthair,"None, Lethargy",Kidney Disease,60,197,33,39.4,Both,20,Low,Healthy,N/A,Diabetic-friendly Diet,No
86,7,2.8,Sphynx,Difficulty Breathing,Diabetes,69,172,24,38.6,Outdoor,32,Moderate,Respiratory Infection,Dust,Balanced Diet,No
87,7,2.6,British Shorthair,Loss of Appetite,Diabetes,57,212,27,39.2,Indoor,39,Moderate,Obesity,"Genetic, Dehydration",Balanced Diet,No
88,6,5.7,Siamese,None,Obesity,47,189,23,38.1,Both,2,Low,Healthy,N/A,Low-sodium Diet,No
89,2,6.2,Siamese,"Vomiting, Weight Loss, Difficulty Breathing",Kidney Disease,69,146,40,38.8,Both,33,Moderate,Diabetes,"Allergies, Stress","Wet food, Hydration",No
90,14,4.8,Ragdoll,"Weight Loss, Coughing",Kidney Disease,53,179,25,38.0,Both,1,Low,Healthy,N/A,Low-sodium Diet,No
91,10,3.3,Scottish Fold,"Sneezing, Difficulty Breathing",Obesity,57,188,25,38.0,Outdoor,87,Severe,Heart Disease,Poor Diet,Low-sodium Diet,Yes
92,5,6.5,Maine Coon,"Difficulty Breathing, Sneezing, Coughing",Heart Condition,49,177,26,38.0,Both,47,Moderate,Diabetes,"Genetic, N/A",Renal Support Diet,No
93,15,3.9,Maine Coon,"Difficulty Breathing, Loss of Appetite",Kidney Disease,75,210,36,38.6,Outdoor,95,Severe,Kidney Failure,"Age-related, Dehydration",Diabetic-friendly Diet,Yes
94,9,3.3,Bengal,None,Diabetes,49,208,36,38.2,Outdoor,22,Moderate,Obesity,Dehydration,High-protein Diet,No
95,8,5.0,Bengal,None,Diabetes,54,199,39,38.5,Both,98,Severe,Heart Disease,Dehydration,Diabetic-friendly Diet,Yes
96,12,6.1,Maine Coon,"Vomiting, Sneezing, Coughing",Obesity,61,153,26,38.9,Both,98,Severe,Diabetes,"Allergies, Poor Diet",Renal Support Diet,Yes
97,4,4.0,Scottish Fold,"Lethargy, Coughing",Arthritis,62,163,31,39.5,Both,45,Moderate,Heart Disease,"Poor Diet, Dust",Low-sodium Diet,No
98,12,5.3,Maine Coon,"Lethargy, Loss of Appetite",Diabetes,55,199,37,39.5,Indoor,51,High,Diabetes,"Genetic, Dust",High-protein Diet,Yes
99,12,5.0,Scottish Fold,"Loss of Appetite, Sneezing",Arthritis,51,183,26,39.3,Both,58,High,Healthy,N/A,Diabetic-friendly Diet,Yes
100,12,5.5,Persian,"Vomiting, None",Heart Condition,63,161,22,38.1,Both,21,Moderate,Obesity,"Age-related, N/A","Wet food, Hydration",No
101,6,5.1,Sphynx,None,Arthritis,51,211,23,38.2,Outdoor,53,High,Kidney Failure,"Genetic, Dehydration",Low-sodium Diet,Yes
102,13,4.7,Ragdoll,None,Diabetes,75,182,20,37.6,Both,29,Moderate,Gastrointestinal Issue,N/A,Low-sodium Diet,No
103,9,3.4,Siamese,None,Kidney Disease,49,204,35,39.8,Both,97,Severe,Heart Disease,"Genetic, Age-related","Wet food, Hydration",Yes
104,13,5.7,Persian,"Weight Loss, Loss of Appetite",Obesity,50,148,27,37.7,Indoor,59,High,Heart Disease,Dehydration,Low-sodium Diet,Yes
105,15,3.4,British Shorthair,"Sneezing, Difficulty Breathing, Weight Loss",Arthritis,45,209,38,38.7,Indoor,65,High,Heart Disease,Allergies,Renal Support Diet,Yes
106,12,4.0,Siamese,"Difficulty Breathing, Weight Loss",Diabetes,72,146,23,37.6,Outdoor,24,Moderate,Obesity,"Dehydration, N/A","Wet food, Hydration",No
107,1,4.7,Maine Coon,"Difficulty Breathing, Lethargy, Coughing",Kidney Disease,62,214,36,38.8,Both,87,Severe,Gastrointestinal Issue,"Age-related, Dehydration","Wet food, Hydration",Yes
108,1,5.4,Persian,Loss of Appetite,Heart Condition,52,151,20,39.4,Outdoor,7,Low,Healthy,N/A,"Wet food, Hydration",No
109,13,5.0,Persian,"Difficulty Breathing, Vomiting",Kidney Disease,49,203,29,38.9,Both,49,Moderate,Heart Disease,Dust,"Wet food, Hydration",No
110,5,5.0,Bengal,"Loss of Appetite, None",Obesity,70,140,31,38.9,Outdoor,8,Low,Healthy,N/A,Diabetic-friendly Diet,No
111,8,2.6,Siamese,"None, Vomiting, Weight Loss",Kidney Disease,59,183,29,38.7,Outdoor,75,High,Obesity,N/A,Diabetic-friendly Diet,Yes
112,12,5.2,Persian,"Weight Loss, Vomiting",Heart Condition,67,208,33,39.9,Indoor,65,High,Obesity,Dehydration,Low-sodium Diet,Yes
113,1,6.3,Bengal,"Sneezing, Vomiting",Kidney Disease,53,169,28,38.5,Outdoor,34,Moderate,Obesity,Allergies,Low-sodium Diet,No
114,5,2.9,Maine Coon,None,None,55,203,20,38.6,Indoor,68,High,Gastrointestinal Issue,Genetic,Low-sodium Diet,Yes
115,7,4.7,Bengal,"Difficulty Breathing, Vomiting",Heart Condition,71,213,22,38.9,Indoor,88,Severe,Heart Disease,"Dust, Poor Diet","Wet food, Hydration",Yes
116,10,5.5,Maine Coon,"Vomiting, None, Coughing",Diabetes,46,164,39,39.4,Indoor,92,Severe,Healthy,N/A,Low-sodium Diet,Yes
117,11,4.3,Ragdoll,None,Obesity,66,192,20,38.5,Outdoor,60,High,Obesity,"Poor Diet, Allergies",Renal Support Diet,Yes
118,9,3.5,Scottish Fold,"Difficulty Breathing, Lethargy",Kidney Disease,48,207,29,39.7,Indoor,57,High,Healthy,N/A,Balanced Diet,Yes
119,15,3.0,Scottish Fold,"Vomiting, Loss of Appetite",Heart Condition,67,161,26,37.5,Outdoor,81,Severe,Respiratory Infection,"Poor Diet, Age-related","Wet food, Hydration",Yes
120,15,5.4,Scottish Fold,None,Obesity,72,196,34,39.5,Both,91,Severe,Heart Disease,Genetic,Renal Support Diet,Yes
121,2,4.7,Bengal,None,Arthritis,61,214,33,38.5,Outdoor,66,High,Obesity,"Allergies, Stress",Low-sodium Diet,Yes
122,11,2.6,Bengal,"Coughing, None, Loss of Appetite",Diabetes,75,185,24,39.7,Both,55,High,Healthy,N/A,Balanced Diet,Yes
123,5,2.7,Sphynx,"None, Loss of Appetite, Lethargy",Heart Condition,48,184,32,39.9,Outdoor,51,High,Diabetes,Dust,Diabetic-friendly Diet,Yes
124,3,6.7,Persian,None,Kidney Disease,50,169,27,39.0,Indoor,64,High,Gastrointestinal Issue,Stress,Renal Support Diet,Yes
125,3,4.3,British Shorthair,"Weight Loss, Difficulty Breathing, None",None,45,182,28,37.8,Both,12,Low,Healthy,N/A,Renal Support Diet,No
126,6,6.6,Scottish Fold,"Difficulty Breathing, None",Kidney Disease,66,200,36,38.7,Both,24,Moderate,Healthy,N/A,Balanced Diet,No
127,2,4.1,Sphynx,"Lethargy, Weight Loss, Difficulty Breathing",Obesity,72,207,35,37.7,Both,67,High,Healthy,N/A,Renal Support Diet,Yes
128,6,6.8,Maine Coon,Coughing,Diabetes,69,201,35,38.5,Outdoor,26,Moderate,Diabetes,"Dust, Stress",Renal Support Diet,No
129,8,5.4,Sphynx,"Sneezing, Difficulty Breathing, Coughing",Heart Condition,70,211,23,37.6,Outdoor,16,Low,Healthy,N/A,Low-sodium Diet,No
130,9,6.4,Ragdoll,"Loss of Appetite, Vomiting",Diabetes,60,165,35,38.4,Outdoor,92,Severe,Healthy,N/A,Balanced Diet,Yes
131,10,4.1,British Shorthair,None,Obesity,49,206,29,40.0,Both,19,Low,Healthy,N/A,Low-sodium Diet,No
132,12,3.9,Scottish Fold,Weight Loss,Heart Condition,50,208,40,38.9,Both,4,Low,Healthy,N/A,Low-sodium Diet,No
133,10,4.4,British Shorthair,Weight Loss,Diabetes,72,169,21,38.8,Both,65,High,Diabetes,"N/A, Genetic",High-protein Diet,Yes
134,3,3.6,British Shorthair,Vomiting,Arthritis,52,168,30,38.2,Outdoor,57,High,Heart Disease,"Poor Diet, Stress",Low-sodium Diet,Yes
135,5,5.5,Scottish Fold,"Sneezing, Vomiting, None",Heart Condition,47,167,39,37.7,Indoor,22,Moderate,Diabetes,"Stress, N/A",Balanced Diet,No
136,2,2.8,Scottish Fold,"Lethargy, Sneezing",Heart Condition,67,163,28,39.7,Both,35,Moderate,Gastrointestinal Issue,N/A,Renal Support Diet,No
137,13,6.2,Maine Coon,"Weight Loss, Loss of Appetite, Vomiting",Obesity,59,156,22,38.2,Both,76,High,Healthy,N/A,Diabetic-friendly Diet,Yes
138,12,3.3,Sphynx,None,Heart Condition,60,167,20,37.8,Indoor,100,Severe,Obesity,N/A,"Wet food, Hydration",Yes
139,2,6.6,British Shorthair,"Coughing, None",Diabetes,46,206,25,38.6,Both,92,Severe,Obesity,Poor Diet,High-protein Diet,Yes
140,9,4.2,Sphynx,"Loss of Appetite, Sneezing, Vomiting",Kidney Disease,52,214,27,37.8,Indoor,22,Moderate,Gastrointestinal Issue,Poor Diet,"Wet food, Hydration",No
141,6,6.0,Siamese,Coughing,Diabetes,67,169,37,37.6,Both,85,Severe,Heart Disease,"Age-related, Dehydration",Diabetic-friendly Diet,Yes
142,2,3.6,Maine Coon,"Vomiting, Lethargy",None,72,183,26,39.7,Both,15,Low,Healthy,N/A,High-protein Diet,No
143,8,6.4,British Shorthair,"Vomiting, Loss of Appetite",None,57,179,40,39.0,Both,28,Moderate,Obesity,Dehydration,Renal Support Diet,No
144,3,2.8,Maine Coon,"Coughing, Vomiting",Heart Condition,71,207,26,38.9,Outdoor,14,Low,Healthy,N/A,Diabetic-friendly Diet,No
145,14,4.0,Siamese,"Difficulty Breathing, None",None,49,146,31,39.8,Indoor,52,High,Heart Disease,Genetic,"Wet food, Hydration",Yes
146,11,5.2,Scottish Fold,"Lethargy, Coughing, Vomiting",Arthritis,47,166,25,39.0,Outdoor,25,Moderate,Respiratory Infection,"Poor Diet, Genetic",Diabetic-friendly Diet,No
147,5,4.5,Maine Coon,Difficulty Breathing,Heart Condition,52,143,40,37.7,Indoor,35,Moderate,Kidney Failure,Dehydration,Diabetic-friendly Diet,No
148,14,2.6,British Shorthair,Sneezing,Obesity,68,168,33,39.7,Outdoor,29,Moderate,Heart Disease,Poor Diet,"Wet food, Hydration",No
149,3,3.8,Maine Coon,"Difficulty Breathing, Loss of Appetite, Coughing",Kidney Disease,75,203,33,38.7,Indoor,91,Severe,Healthy,N/A,"Wet food, Hydration",Yes
150,14,5.9,British Shorthair,"Coughing, Loss of Appetite",None,59,174,38,40.0,Outdoor,93,Severe,Healthy,N/A,Diabetic-friendly Diet,Yes
151,4,2.5,Scottish Fold,"Lethargy, None, Weight Loss",Arthritis,62,173,22,38.1,Indoor,91,Severe,Kidney Failure,"Age-related, Stress",Balanced Diet,Yes
152,13,4.9,Scottish Fold,"Lethargy, Difficulty Breathing",Heart Condition,61,186,40,39.5,Both,43,Moderate,Gastrointestinal Issue,"N/A, Dust",Balanced Diet,No
153,1,3.6,Persian,"Coughing, Loss of Appetite",Heart Condition,74,193,34,39.3,Indoor,86,Severe,Obesity,Poor Diet,Diabetic-friendly Diet,Yes
154,7,3.8,Siamese,"Weight Loss, Loss of Appetite",Diabetes,52,203,22,38.8,Indoor,28,Moderate,Respiratory Infection,Dehydration,Renal Support Diet,No
155,3,3.6,Bengal,"Vomiting, None",None,68,163,20,38.2,Indoor,93,Severe,Healthy,N/A,Renal Support Diet,Yes
156,8,4.1,Siamese,"Lethargy, Difficulty Breathing",None,68,158,27,38.4,Indoor,5,Low,Healthy,N/A,Diabetic-friendly Diet,No
157,1,5.0,Persian,"Vomiting, None, Difficulty Breathing",Kidney Disease,50,164,27,38.2,Outdoor,79,High,Heart Disease,Genetic,"Wet food, Hydration",Yes
158,13,3.7,British Shorthair,Vomiting,Arthritis,58,211,34,38.8,Outdoor,89,Severe,Kidney Failure,"Poor Diet, N/A",Renal Support Diet,Yes
159,12,5.3,British Shorthair,Coughing,Arthritis,49,218,32,38.5,Indoor,40,Moderate,Heart Disease,"Dust, Dehydration",Low-sodium Diet,No
160,5,3.1,British Shorthair,"Sneezing, None, Loss of Appetite",Arthritis,45,163,26,39.7,Both,6,Low,Healthy,N/A,Renal Support Diet,No
161,14,4.6,Siamese,None,Kidney Disease,48,206,36,39.8,Indoor,55,High,Diabetes,Dust,Low-sodium Diet,Yes
162,4,4.6,Persian,None,None,60,151,37,38.1,Indoor,56,High,Gastrointestinal Issue,Stress,"Wet food, Hydration",Yes
163,14,3.1,Sphynx,Lethargy,Heart Condition,66,185,28,38.1,Indoor,68,High,Diabetes,"Allergies, Poor Diet",Low-sodium Diet,Yes
164,8,3.6,Bengal,Weight Loss,Kidney Disease,59,187,24,38.6,Both,9,Low,Healthy,N/A,Diabetic-friendly Diet,No
165,9,6.3,British Shorthair,"Vomiting, Loss of Appetite, Difficulty Breathing",Arthritis,61,158,25,39.5,Indoor,25,Moderate,Gastrointestinal Issue,"Genetic, Stress",High-protein Diet,No
166,11,6.8,Scottish Fold,"Difficulty Breathing, Coughing",Obesity,51,164,35,37.8,Indoor,57,High,Gastrointestinal Issue,"Age-related, Dust",Renal Support Diet,Yes
167,14,3.4,British Shorthair,None,Kidney Disease,75,199,39,38.6,Indoor,60,High,Obesity,Genetic,Balanced Diet,Yes
168,2,4.4,Scottish Fold,None,Arthritis,62,178,35,39.6,Indoor,8,Low,Healthy,N/A,Diabetic-friendly Diet,No
169,1,6.9,Siamese,"Vomiting, Lethargy",Heart Condition,67,183,23,38.4,Indoor,43,Moderate,Kidney Failure,"Dehydration, Genetic","Wet food, Hydration",No
170,9,3.9,British Shorthair,"Loss of Appetite, Coughing",Obesity,50,186,32,37.7,Indoor,59,High,Heart Disease,"Poor Diet, Stress","Wet food, Hydration",Yes
171,13,6.3,Ragdoll,None,None,65,194,37,38.5,Indoor,64,High,Kidney Failure,"Dehydration, Allergies",Renal Support Diet,Yes
172,2,4.5,Bengal,None,Arthritis,65,152,35,38.7,Indoor,13,Low,Healthy,N/A,Renal Support Diet,No
173,2,4.1,Siamese,None,Heart Condition,61,182,33,38.6,Both,53,High,Heart Disease,Poor Diet,Balanced Diet,Yes
174,13,6.3,Maine Coon,Vomiting,None,66,195,23,39.4,Indoor,41,Moderate,Kidney Failure,"Poor Diet, Age-related",Balanced Diet,No
175,8,6.9,Scottish Fold,"Coughing, Weight Loss",Diabetes,55,186,23,39.8,Indoor,93,Severe,Gastrointestinal Issue,Poor Diet,High-protein Diet,Yes
176,3,3.8,Persian,Weight Loss,Kidney Disease,67,153,35,38.6,Indoor,87,Severe,Gastrointestinal Issue,"Stress, Dehydration",Diabetic-friendly Diet,Yes
177,10,4.5,Sphynx,Sneezing,Kidney Disease,63,142,33,39.7,Both,8,Low,Healthy,N/A,"Wet food, Hydration",No
